article_id,n_chunks,mean_p_ai,median_p_ai,max_p_ai,share_ai_like,mean_words,mean_words_per_sentence
article_0169,7,1.0,1.0,1.0,1.0,76.42857142857143,19.107142857142858
article_0223,3,1.0,1.0,1.0,1.0,76.0,19.0
article_0276,7,1.0,1.0,1.0,1.0,65.0,16.25
article_0277,7,1.0,1.0,1.0,1.0,84.42857142857143,21.107142857142858
article_0282,6,1.0,1.0,1.0,1.0,88.16666666666667,22.041666666666668
article_0317,7,1.0,1.0,1.0,1.0,79.85714285714286,20.821428571428573
article_0357,5,1.0,1.0,1.0,1.0,80.6,20.15
article_0508,7,1.0,1.0,1.0,1.0,79.28571428571429,19.821428571428573
article_0690,6,1.0,1.0,1.0,1.0,90.5,23.555555555555557
article_0705,8,1.0,1.0,1.0,1.0,118.625,30.677083333333332
article_0768,5,1.0,1.0,1.0,1.0,102.6,25.65
article_0987,8,1.0,1.0,1.0,1.0,48.375,12.09375
article_0995,6,1.0,1.0,1.0,1.0,72.0,18.0
article_1025,3,1.0,1.0,1.0,1.0,90.66666666666667,22.666666666666668
article_1071,5,1.0,1.0,1.0,1.0,82.2,20.55
article_1084,5,1.0,1.0,1.0,1.0,91.8,22.95
article_1095,6,1.0,1.0,1.0,1.0,74.83333333333333,18.708333333333332
article_1096,3,1.0,1.0,1.0,1.0,90.33333333333333,22.583333333333332
article_1097,4,1.0,1.0,1.0,1.0,93.75,23.4375
article_1111,4,1.0,1.0,1.0,1.0,74.75,18.6875
article_1174,9,1.0,1.0,1.0,1.0,55.22222222222222,13.805555555555555
article_1195,5,1.0,1.0,1.0,1.0,74.2,19.483333333333334
article_1198,6,1.0,1.0,1.0,1.0,94.33333333333333,23.583333333333332
article_1208,7,1.0,1.0,1.0,1.0,83.71428571428571,20.928571428571427
article_1216,6,1.0,1.0,1.0,1.0,72.83333333333333,18.208333333333332
article_1228,6,1.0,1.0,1.0,1.0,77.33333333333333,19.333333333333332
article_1237,4,1.0,1.0,1.0,1.0,74.75,18.6875
article_1357,11,1.0,1.0,1.0,1.0,100.54545454545455,25.136363636363637
article_1364,5,1.0,1.0,1.0,1.0,105.6,26.4
article_1440,9,1.0,1.0,1.0,1.0,54.666666666666664,14.175925925925926
article_1459,6,1.0,1.0,1.0,1.0,92.16666666666667,23.041666666666668
article_0490,8,0.99999994,1.0,1.0,1.0,54.0,13.5
article_0135,5,0.9999999,1.0,1.0,1.0,84.4,21.1
article_0674,9,0.9999999,1.0,1.0,1.0,51.333333333333336,12.833333333333334
article_1035,10,0.9999999,1.0,1.0,1.0,77.4,20.125
