token,high_ai_count,low_ai_count,high_ai_freq,low_ai_freq,freq_delta
для,5668,415,0.013588350650409232,0.006625582731975222,0.00696276791843401
the,2372,31,0.005686585699147971,0.0004949230474487515,0.00519166265169922
что,4989,548,0.011960529533325982,0.008748962258126318,0.0032115672751996636
ключевые,1043,3,0.002500467489127881,4.789577878536305e-05,0.002452571710342518
and,1023,15,0.002452519886268286,0.00023947889392681525,0.0022130409923414706
исследования,1276,57,0.003059057062442163,0.0009100197969218979,0.002149037265520265
слова,864,9,0.0020713364435345056,0.00014368733635608915,0.0019276491071784163
включая,869,12,0.0020833233442494044,0.0001915831151414522,0.001891740229107952
результаты,922,24,0.002210384491827331,0.0003831662302829044,0.0018272182615444268
также,2034,199,0.004876271210820815,0.0031770866594290825,0.001699184551391733
анализ,878,30,0.002104899765536222,0.0004789577878536305,0.0016259419776825915
данных,946,46,0.002267921615258845,0.0007344019413755668,0.0015335196738832783
введение,661,6,0.0015846682745096158,9.57915575707261e-05,0.0014888767169388896
анализа,811,30,0.0019442752959565786,0.0004789577878536305,0.001465317508102948
заключение,592,4,0.0014192490446440131,6.386103838048407e-05,0.001355388006263529
условиях,788,35,0.0018891355526680443,0.0005587840858292355,0.0013303514668388087
позволяет,703,23,0.0016853582405147655,0.0003672009706877834,0.001318157269826982
различных,808,42,0.0019370831555276394,0.0006705409029950827,0.0012665422525325568
таких,689,27,0.0016517949185130489,0.00043106200906826747,0.0012207329094447814
необходимость,538,6,0.0012897905169231064,9.57915575707261e-05,0.0011939989593523802
методы,608,19,0.001457607126931689,0.0003033399323072993,0.0011542671946243896
труда,568,14,0.001361711921212499,0.00022351363433169424,0.0011381982868808047
работы,699,37,0.0016757687199428464,0.0005907146050194777,0.0010850541149233688
данной,732,43,0.0017548822646611783,0.0006865061625902037,0.0010683761020709747
важно,438,1,0.0010500525026251313,1.5965259595121018e-05,0.0010340872430300103
систем,624,30,0.001495965209219365,0.0004789577878536305,0.0010170074213657345
for,475,10,0.001138755567915382,0.00015965259595121016,0.0009791029719641718
технологий,525,19,0.0012586245750643697,0.0003033399323072993,0.0009552846427570704
которые,963,87,0.002308677077689501,0.0013889775847755284,0.0009196994929139726
методов,448,10,0.0010740263040549289,0.00015965259595121016,0.0009143737081037187
безопасности,430,8,0.0010308734614812931,0.00012772207676096814,0.000903151384720325
требует,429,8,0.0010284760813383134,0.00012772207676096814,0.0009007540045773453
особенно,428,10,0.0010260787011953337,0.00015965259595121016,0.0008664261052441235
контексте,541,27,0.0012969826573520458,0.00043106200906826747,0.0008659206482837783
аннотация,379,3,0.0009086070741893259,4.789577878536305e-05,0.0008607112954039628
системы,840,73,0.0020137993201029916,0.0011654639504438341,0.0008483353696591574
статье,411,9,0.000985323238764678,0.00014368733635608915,0.0008416359024085888
однако,656,47,0.0015726813737947172,0.0007503672009706877,0.0008223141728240295
использование,452,17,0.0010836158246268477,0.0002714094131170573,0.0008122064115097904
новых,404,10,0.0009685415777638197,0.00015965259595121016,0.0008088889818126095
